datetime,open,high,low,close
2025-11-07,3981.31,3981.99,3972.1,3980.39
2025-11-06,3984.64,4020.0,3958.68,3981.31
2025-11-05,3930.56,3985.32,3920.0,3984.63
2025-11-04,3999.67,4009.04,3918.0,3930.56
2025-11-03,3997.44,4024.93,3962.2,3999.2
2025-11-01,3995.65,4009.88,3991.21,4001.4
2025-10-31,4020.71,4040.0,3971.81,3995.65
2025-10-30,3949.55,4023.0,3921.71,4020.42
2025-10-29,3967.97,4031.43,3930.08,3949.3
2025-10-28,3980.41,4013.17,3900.0,3967.98
2025-10-27,4098.77,4099.51,3951.0,3980.31
2025-10-25,4097.3,4127.13,4090.99,4111.21
2025-10-24,4117.36,4139.62,4045.25,4097.3
2025-10-23,4101.33,4157.46,4057.14,4117.0
2025-10-22,4114.09,4167.79,4020.0,4101.48
2025-10-21,4388.43,4390.74,4094.72,4114.57
2025-10-20,4231.0,4401.66,4214.16,4388.43
2025-10-18,4236.81,4273.28,4188.0,4237.99
2025-10-17,4333.07,4530.0,4192.55,4236.8
2025-10-16,4230.95,4336.65,4219.82,4333.33
2025-10-15,4155.53,4240.29,4151.67,4230.95
2025-10-14,4124.0,4200.0,4103.38,4155.65
2025-10-13,4002.99,4124.06,4002.63,4124.0
2025-10-11,4024.43,4030.95,3600.0,3997.52
2025-10-10,3989.19,4033.0,3957.29,4024.44
2025-10-09,4056.45,4072.0,3961.94,3989.18
2025-10-08,3994.92,4079.48,3992.98,4056.45
2025-10-07,3970.74,4000.0,3953.39,3994.92
2025-10-06,3891.88,3979.0,3890.53,3970.74
2025-10-04,3885.25,3900.72,3842.52,3893.47
2025-10-03,3861.5,3889.99,3843.79,3885.26
2025-10-02,3875.48,3899.0,3823.79,3861.5
2025-10-01,3869.18,3904.58,3863.63,3875.49
2025-09-30,3842.19,3880.69,3806.92,3869.18
2025-09-29,3770.0,3844.84,3768.57,3842.19
2025-09-27,3771.51,3784.69,3764.5,3783.35
2025-09-26,3757.68,3799.0,3742.04,3771.5
2025-09-25,3747.29,3773.55,3730.0,3757.69
2025-09-24,3777.11,3788.79,3720.78,3747.29
2025-09-23,3760.42,3800.0,3748.89,3777.03
2025-09-22,3689.63,3762.62,3686.83,3760.41
2025-09-20,3688.92,3693.04,3683.34,3691.44
2025-09-19,3647.62,3690.09,3641.01,3688.92
2025-09-18,3664.38,3674.27,3638.08,3647.61
2025-09-17,3696.78,3708.49,3657.59,3664.37
2025-09-16,3683.47,3712.69,3677.61,3696.78
2025-09-15,3652.38,3692.79,3635.07,3683.47
2025-09-13,3642.08,3646.34,3625.47,3632.77
2025-09-12,3634.01,3655.89,3630.53,3642.08
2025-09-11,3641.3,3646.92,3614.09,3634.06
2025-09-10,3638.48,3664.0,3630.0,3641.3
2025-09-09,3641.12,3681.7,3633.36,3638.7
2025-09-08,3609.59,3649.32,3588.12,3641.18
2025-09-06,3590.0,3611.68,3590.0,3606.64
2025-09-05,3553.16,3599.1,3548.64,3590.01
2025-09-04,3573.33,3578.25,3527.55,3553.16
2025-09-03,3550.4,3587.5,3542.4,3573.33
2025-09-02,3490.82,3556.69,3486.35,3550.4
2025-09-01,3467.33,3502.0,3451.13,3490.83
2025-08-30,3455.6,3466.73,3451.04,3463.81
2025-08-29,3419.77,3464.7,3407.8,3455.59
2025-08-28,3388.81,3423.25,3378.0,3419.78
2025-08-27,3379.9,3388.82,3365.0,3388.82
2025-08-26,3349.54,3379.98,3336.0,3379.95
2025-08-25,3358.02,3366.68994,3349.12,3349.54
2025-08-23,3363.43,3366.18,3345.51,3359.72
2025-08-22,3332.13,3363.43,3318.28,3363.42
2025-08-21,3339.88,3342.56,3318.25,3332.14
2025-08-20,3314.84,3339.91,3301.77,3339.88
2025-08-19,3331.76,3342.06,3308.01,3314.82
2025-08-18,3330.09,3380.0,3322.0,3331.75
2025-08-16,3329.35,3336.01,3327.21,3331.25
2025-08-15,3330.23,3341.09,3326.01,3329.36
2025-08-14,3350.8,3361.0,3324.39,3330.23
2025-08-13,3342.52,3358.6,3335.55,3350.8
2025-08-12,3344.14,3357.52,3332.0,3342.47
2025-08-11,3386.51,3391.7,3339.63,3344.13
2025-08-09,3387.21,3393.8,3375.0,3389.32
2025-08-08,3389.03,3397.81,3375.19,3387.21
2025-08-07,3371.54,3394.98,3368.36,3389.29
2025-08-06,3379.59,3385.25,3362.51,3371.53
2025-08-05,3378.97,3393.62,3353.8,3379.58
2025-08-04,3368.63,3384.39,3348.8,3378.96
2025-08-02,3361.89,3369.98,3355.58,3361.38
2025-08-01,3299.42,3362.0,3289.05,3361.89
2025-07-31,3292.2,3321.34,3288.88,3299.41
2025-07-30,3334.23,3340.28,3283.0,3291.98
2025-07-29,3322.01,3338.09,3318.39,3334.24
2025-07-28,3348.18,3351.53,3312.0,3322.01
2025-07-26,3347.16,3358.44,3345.6,3352.96
2025-07-25,3370.59,3373.55005,3326.32007,3347.17
2025-07-24,3389.03,3396.34,3359.33,3370.59
2025-07-23,3427.08,3437.79004,3386.11,3389.03
2025-07-22,3397.33,3433.43994,3383.24,3427.09
2025-07-21,3345.0,3401.3999,3345.0,3397.33
2025-07-20,3349.4,3352.8,3346.3,3347.3
2025-07-19,3347.6,3352.6,3341.9,3348.0
2025-07-18,3303.71,3361.28003,3303.71,3347.9
2025-07-17,3344.7,3352.25,3309.98999,3337.6
2025-07-16,3324.3,3377.18994,3319.92993,3344.7
2025-07-15,3342.4,3366.24,3320.36011,3324.6
2025-07-14,3356.92,3375.02002,3341.1499,3342.4
2025-07-13,3348.0,3350.9,3345.4,3349.4
2025-07-12,3349.8,3354.76,3343.6,3348.6
2025-07-11,3318.9,3367.45996,3314.8,3349.9
2025-07-10,3312.1,3330.21,3306.2,3323.67
2025-07-09,3299.1,3316.87012,3282.8999,3312.1
2025-07-08,3333.8,3345.7,3287.21,3301.03
2025-07-07,3334.01,3342.05,3296.5,3336.82
2025-07-06,3335.2,3339.5,3332.1,3334.6
2025-07-05,3335.24,3339.8,3331.3,3336.7
2025-07-04,3323.5,3344.98,3322.7,3336.8
2025-07-03,3352.0,3365.61,3311.66,3323.9
2025-07-02,3336.1,3359.06006,3325.7,3352.0
2025-07-01,3305.4,3357.96997,3300.0,3336.4
2025-06-30,3272.3,3309.21997,3248.98,3302.90991
2025-06-29,3273.8,3273.8,3271.9,3272.0
2025-06-28,3278.3,3284.3,3273.67,3284.3
2025-06-27,3326.7,3329.0,3255.97998,3278.0
2025-06-26,3331.1,3350.25,3310.0,3328.09
2025-06-25,3325.5,3337.3,3313.41992,3332.13989
2025-06-24,3370.9,3383.3,3299.91992,3324.9
2025-06-23,3412.9,3419.5,3347.02,3369.1001
2025-06-22,3409.5,3434.2,3406.3,3413.8
2025-06-21,3373.4,3381.9,3373.2,3380.3
2025-06-20,3381.3,3381.3,3340.32,3368.76
2025-06-19,3371.9,3389.2,3347.72998,3381.2
2025-06-18,3388.7,3399.98,3362.68994,3372.1
2025-06-17,3384.6,3403.21,3366.09,3387.3
2025-06-16,3446.0,3455.7,3383.0,3383.53
2025-06-15,3453.7,3458.1,3453.6,3457.7
2025-06-14,3436.2,3447.7,3430.0,3438.1
2025-06-13,3382.0,3446.58,3379.82,3432.19
2025-06-12,3352.3,3398.78,3338.68,3381.9
2025-06-11,3321.7,3360.6,3315.45,3352.3
2025-06-10,3327.2,3348.99,3302.09,3323.47
2025-06-09,3315.0,3338.20996,3293.58,3327.6
2025-06-08,3316.0,3321.6,3315.3,3319.1
2025-06-07,3318.1,3324.7,3315.2,3317.9
2025-06-06,3353.1,3375.45,3307.1,3310.1
2025-06-05,3376.5,3403.33,3339.5,3353.0
2025-06-04,3354.3,3384.66,3343.75,3372.34
2025-06-03,3381.01,3392.07,3333.38,3354.3
2025-06-02,3296.6,3382.66,3295.29,3381.02
2025-06-01,3297.1,3298.5,3295.5,3295.5
2025-05-31,3295.8,3301.1,3291.5,3291.8
2025-05-30,3317.11,3323.8,3277.61,3288.52
2025-05-29,3291.2,3328.34,3249.59,3317.95
2025-05-28,3300.0,3325.27,3277.0,3291.4
2025-05-27,3345.6,3353.6,3288.25,3299.7
2025-05-26,3354.88,3356.51,3324.0,3346.6
2025-05-25,3360.6,3364.5,3359.7,3359.7
2025-05-24,3356.8,3359.5,3350.1,3355.7
2025-05-23,3298.7,3366.0,3287.0,3355.9
2025-05-22,3314.4,3345.31,3279.27,3294.79
2025-05-21,3285.4,3324.65,3284.6,3315.56
2025-05-20,3232.0,3295.54,3204.53,3285.1
2025-05-19,3229.0,3249.65,3206.0,3229.15
2025-05-18,3209.2,3212.4,3206.7,3208.3
2025-05-17,3209.6,3211.5,3199.3,3207.2
2025-05-16,3245.0,3252.5,3154.27,3209.7
2025-05-15,3181.2,3245.2,3120.92,3244.5
2025-05-14,3247.8,3256.97,3167.95,3181.2
2025-05-13,3237.6,3265.33,3215.92,3248.5
2025-05-12,3290.0,3305.79,3207.7,3235.24
2025-05-10,3326.9,3332.7,3320.7,3322.0
2025-05-09,3309.6,3347.26,3275.0,3323.64
2025-05-08,3366.7,3414.52,3288.91,3309.4
2025-05-07,3435.0,3440.4,3360.23,3366.6
2025-05-06,3340.6,3440.0,3323.53,3434.7
2025-05-05,3252.8,3341.1,3236.68,3335.0
2025-05-04,3255.7,3255.9,3252.6,3252.7
